"model_type","n","innov_dist","contamination","epsilon","hp_scenario","delta","rate_linearized","rate_l2","mean_loc_linearized","mean_loc_l2"
"LMHC",1000,"t3","AO",0.05,"H1",0.75,0.959,0.079,0.5045,0.5009
"LMHC",5000,"t3","AO",0.05,"H1",0.75,1,0.941,0.5009,0.5001
"LMHC",500,"normal","IO",0.05,"H1",0.75,0.101,0.017,0.5129,0.5282
"LMHC",1000,"normal","IO",0.05,"H1",0.75,0.353,0.018,0.5082,0.5205
"LMHC",5000,"normal","IO",0.05,"H1",0.75,1,0.151,0.5016,0.5076
"LMHC",500,"t3","IO",0.05,"H1",0.75,0.145,0.012,0.5168,0.5291
"LMHC",1000,"t3","IO",0.05,"H1",0.75,0.472,0.014,0.5112,0.5213
"LMHC",5000,"t3","IO",0.05,"H1",0.75,1,0.135,0.5022,0.5113
"LMHC",500,"normal","RO",0.05,"H1",0.75,0.39,0.075,0.5109,0.5325
"LMHC",1000,"normal","RO",0.05,"H1",0.75,0.756,0.274,0.5043,0.5147
"LMHC",5000,"normal","RO",0.05,"H1",0.75,1,0.999,0.5019,0.5027
"LMHC",500,"t3","RO",0.05,"H1",0.75,0.511,0.074,0.5148,0.5382
"LMHC",1000,"t3","RO",0.05,"H1",0.75,0.91,0.288,0.5082,0.5123
"LMHC",5000,"t3","RO",0.05,"H1",0.75,1,0.997,0.5008,0.502
"LMHC",500,"normal","Clean",0,"H2",0.75,0.21,0.04,0.525,0.5404
"LMHC",1000,"normal","Clean",0,"H2",0.75,0.385,0.108,0.5167,0.5237
"LMHC",5000,"normal","Clean",0,"H2",0.75,0.991,0.95,0.5023,0.5022
"LMHC",500,"t3","Clean",0,"H2",0.75,0.248,0.042,0.5275,0.5292
"LMHC",1000,"t3","Clean",0,"H2",0.75,0.604,0.126,0.5157,0.5217
"LMHC",5000,"t3","Clean",0,"H2",0.75,1,0.937,0.5036,0.5058
"LMHC",500,"normal","AO",0.05,"H2",0.75,0.162,0.005,0.5159,0.5183
"LMHC",1000,"normal","AO",0.05,"H2",0.75,0.364,0.025,0.5274,0.5221
"LMHC",5000,"normal","AO",0.05,"H2",0.75,0.983,0.387,0.5093,0.5096
"LMHC",500,"t3","AO",0.05,"H2",0.75,0.225,0.006,0.5256,0.5166
"LMHC",1000,"t3","AO",0.05,"H2",0.75,0.476,0.013,0.5156,0.5228
"LMHC",5000,"t3","AO",0.05,"H2",0.75,1,0.39,0.5071,0.5077
"LMHC",500,"normal","IO",0.05,"H2",0.75,0.046,0.007,0.5251,0.5269
"LMHC",1000,"normal","IO",0.05,"H2",0.75,0.1,0.011,0.5189,0.5233
"LMHC",5000,"normal","IO",0.05,"H2",0.75,0.904,0.049,0.506,0.5197
"LMHC",500,"t3","IO",0.05,"H2",0.75,0.034,0.006,0.521,0.5289
"LMHC",1000,"t3","IO",0.05,"H2",0.75,0.121,0.009,0.5301,0.5232
"LMHC",5000,"t3","IO",0.05,"H2",0.75,0.989,0.058,0.5056,0.5057
"LMHC",500,"normal","RO",0.05,"H2",0.75,0.166,0.034,0.5206,0.5384
"LMHC",1000,"normal","RO",0.05,"H2",0.75,0.28,0.048,0.5223,0.5394
"LMHC",5000,"normal","RO",0.05,"H2",0.75,0.982,0.761,0.5093,0.512
"LMHC",500,"t3","RO",0.05,"H2",0.75,0.189,0.026,0.519,0.5364
"LMHC",1000,"t3","RO",0.05,"H2",0.75,0.421,0.072,0.5129,0.5325
"LMHC",5000,"t3","RO",0.05,"H2",0.75,0.999,0.755,0.4985,0.5129
"LMHC",500,"normal","Clean",0,"H1",1,0.739,0.289,0.5117,0.5091
"LMHC",1000,"normal","Clean",0,"H1",1,0.985,0.811,0.5022,0.5025
"LMHC",5000,"normal","Clean",0,"H1",1,1,1,0.5012,0.5006
"LMHC",500,"t3","Clean",0,"H1",1,0.916,0.347,0.5098,0.5077
"LMHC",1000,"t3","Clean",0,"H1",1,1,0.815,0.5054,0.5033
"LMHC",5000,"t3","Clean",0,"H1",1,1,0.998,0.5015,0.4999
"LMHC",500,"normal","AO",0.05,"H1",1,0.665,0.052,0.5103,0.5023
