"model_type","n","innov_dist","contamination","epsilon","hp_scenario","delta","rate_linearized","rate_l2","mean_loc_linearized","mean_loc_l2"
"LMHC",500,"t3","RO",0.05,"H1",0.5,0.322,0.061,0.5204,0.5402
"LMHC",1000,"t3","RO",0.05,"H1",0.5,0.75,0.197,0.5109,0.5235
"LMHC",5000,"t3","RO",0.05,"H1",0.5,1,0.968,0.5038,0.5038
"LMHC",500,"normal","Clean",0,"H2",0.5,0.104,0.033,0.5397,0.5496
"LMHC",1000,"normal","Clean",0,"H2",0.5,0.161,0.082,0.5356,0.5369
"LMHC",5000,"normal","Clean",0,"H2",0.5,0.832,0.712,0.5136,0.5174
"LMHC",500,"t3","Clean",0,"H2",0.5,0.131,0.034,0.5388,0.5528
"LMHC",1000,"t3","Clean",0,"H2",0.5,0.302,0.068,0.5275,0.5304
"LMHC",5000,"t3","Clean",0,"H2",0.5,0.987,0.712,0.5236,0.5279
"LMHC",500,"normal","AO",0.05,"H2",0.5,0.065,0.02,0.5396,0.5485
"LMHC",1000,"normal","AO",0.05,"H2",0.5,0.154,0.035,0.5425,0.5358
"LMHC",5000,"normal","AO",0.05,"H2",0.5,0.82,0.238,0.5205,0.5161
"LMHC",500,"t3","AO",0.05,"H2",0.5,0.109,0.016,0.5338,0.547
"LMHC",1000,"t3","AO",0.05,"H2",0.5,0.255,0.026,0.5487,0.5405
"LMHC",5000,"t3","AO",0.05,"H2",0.5,0.976,0.217,0.5203,0.5173
"LMHC",500,"normal","IO",0.05,"H2",0.5,0.058,0.007,0.5406,0.549
"LMHC",1000,"normal","IO",0.05,"H2",0.5,0.115,0.018,0.543,0.5336
"LMHC",5000,"normal","IO",0.05,"H2",0.5,0.672,0.052,0.523,0.5202
"LMHC",500,"t3","IO",0.05,"H2",0.5,0.057,0.004,0.5344,0.559
"LMHC",1000,"t3","IO",0.05,"H2",0.5,0.152,0.016,0.5295,0.5463
"LMHC",5000,"t3","IO",0.05,"H2",0.5,0.89,0.052,0.5153,0.5162
"LMHC",500,"normal","RO",0.05,"H2",0.5,0.087,0.028,0.5385,0.5571
"LMHC",1000,"normal","RO",0.05,"H2",0.5,0.149,0.056,0.5403,0.5589
"LMHC",5000,"normal","RO",0.05,"H2",0.5,0.778,0.491,0.519,0.5281
"LMHC",500,"t3","RO",0.05,"H2",0.5,0.109,0.021,0.5477,0.5587
"LMHC",1000,"t3","RO",0.05,"H2",0.5,0.238,0.058,0.5348,0.5457
"LMHC",5000,"t3","RO",0.05,"H2",0.5,0.969,0.472,0.5209,0.5324
"LMHC",500,"normal","Clean",0,"H1",0.75,0.512,0.306,0.5209,0.5184
"LMHC",1000,"normal","Clean",0,"H1",0.75,0.879,0.756,0.5097,0.5112
"LMHC",5000,"normal","Clean",0,"H1",0.75,1,1,0.502,0.5015
"LMHC",500,"t3","Clean",0,"H1",0.75,0.719,0.32,0.5155,0.5226
"LMHC",1000,"t3","Clean",0,"H1",0.75,0.993,0.787,0.5098,0.5066
"LMHC",5000,"t3","Clean",0,"H1",0.75,1,0.996,0.502,0.5017
"LMHC",500,"normal","AO",0.05,"H1",0.75,0.46,0.071,0.5195,0.5323
"LMHC",1000,"normal","AO",0.05,"H1",0.75,0.84,0.233,0.514,0.5199
"LMHC",5000,"normal","AO",0.05,"H1",0.75,1,0.983,0.5021,0.5042
"LMHC",500,"t3","AO",0.05,"H1",0.75,0.69,0.088,0.5172,0.5376
"LMHC",1000,"t3","AO",0.05,"H1",0.75,0.98,0.237,0.51,0.5156
"LMHC",5000,"t3","AO",0.05,"H1",0.75,1,0.98,0.5017,0.5027
"LMHC",500,"normal","IO",0.05,"H1",0.75,0.267,0.019,0.5271,0.5426
"LMHC",1000,"normal","IO",0.05,"H1",0.75,0.655,0.034,0.5097,0.53
"LMHC",5000,"normal","IO",0.05,"H1",0.75,1,0.267,0.5031,0.5067
"LMHC",500,"t3","IO",0.05,"H1",0.75,0.394,0.018,0.5194,0.5397
"LMHC",1000,"t3","IO",0.05,"H1",0.75,0.889,0.038,0.5152,0.5312
"LMHC",5000,"t3","IO",0.05,"H1",0.75,1,0.25,0.5032,0.5131
"LMHC",500,"normal","RO",0.05,"H1",0.75,0.446,0.193,0.5237,0.532
"LMHC",1000,"normal","RO",0.05,"H1",0.75,0.837,0.512,0.5084,0.5167
"LMHC",5000,"normal","RO",0.05,"H1",0.75,1,1,0.5026,0.5036
"LMHC",500,"t3","RO",0.05,"H1",0.75,0.659,0.17,0.5222,0.5359
"LMHC",1000,"t3","RO",0.05,"H1",0.75,0.978,0.511,0.5103,0.5162
"LMHC",5000,"t3","RO",0.05,"H1",0.75,1,0.998,0.5017,0.504
"LMHC",500,"normal","Clean",0,"H2",0.75,0.15,0.066,0.5391,0.5499
"LMHC",1000,"normal","Clean",0,"H2",0.75,0.368,0.205,0.537,0.5396
"LMHC",5000,"normal","Clean",0,"H2",0.75,0.993,0.977,0.5189,0.5189
"LMHC",500,"t3","Clean",0,"H2",0.75,0.234,0.075,0.5419,0.561
"LMHC",1000,"t3","Clean",0,"H2",0.75,0.62,0.239,0.5423,0.5408
"LMHC",5000,"t3","Clean",0,"H2",0.75,1,0.965,0.5176,0.5197
"LMHC",500,"normal","AO",0.05,"H2",0.75,0.131,0.02,0.5377,0.5435
"LMHC",1000,"normal","AO",0.05,"H2",0.75,0.339,0.069,0.5403,0.5405
"LMHC",5000,"normal","AO",0.05,"H2",0.75,0.984,0.55,0.5254,0.5289
"LMHC",500,"t3","AO",0.05,"H2",0.75,0.237,0.018,0.5545,0.5505
"LMHC",1000,"t3","AO",0.05,"H2",0.75,0.536,0.063,0.5417,0.5491
"LMHC",5000,"t3","AO",0.05,"H2",0.75,1,0.559,0.5243,0.5237
"LMHC",500,"normal","IO",0.05,"H2",0.75,0.064,0.014,0.544,0.5466
"LMHC",1000,"normal","IO",0.05,"H2",0.75,0.211,0.012,0.5313,0.5354
"LMHC",5000,"normal","IO",0.05,"H2",0.75,0.954,0.091,0.522,0.5206
"LMHC",500,"t3","IO",0.05,"H2",0.75,0.102,0.009,0.5471,0.5546
"LMHC",1000,"t3","IO",0.05,"H2",0.75,0.351,0.023,0.5376,0.5291
"LMHC",5000,"t3","IO",0.05,"H2",0.75,1,0.092,0.5247,0.5139
"LMHC",500,"normal","RO",0.05,"H2",0.75,0.151,0.052,0.5369,0.5577
"LMHC",1000,"normal","RO",0.05,"H2",0.75,0.312,0.116,0.5312,0.553
"LMHC",5000,"normal","RO",0.05,"H2",0.75,0.987,0.88,0.5205,0.5289
"LMHC",500,"t3","RO",0.05,"H2",0.75,0.2,0.044,0.5386,0.5546
"LMHC",1000,"t3","RO",0.05,"H2",0.75,0.553,0.104,0.5398,0.54
"LMHC",5000,"t3","RO",0.05,"H2",0.75,1,0.873,0.5145,0.5254
"LMHC",500,"normal","Clean",0,"H1",1,0.739,0.558,0.5173,0.5156
"LMHC",1000,"normal","Clean",0,"H1",1,0.979,0.956,0.5073,0.5054
"LMHC",5000,"normal","Clean",0,"H1",1,1,1,0.5021,0.5015
"LMHC",500,"t3","Clean",0,"H1",1,0.926,0.615,0.5156,0.5142
"LMHC",1000,"t3","Clean",0,"H1",1,0.999,0.948,0.5081,0.5078
"LMHC",5000,"t3","Clean",0,"H1",1,1,0.998,0.5023,0.5014
"LMHC",500,"normal","AO",0.05,"H1",1,0.69,0.132,0.5144,0.5248
"LMHC",1000,"normal","AO",0.05,"H1",1,0.971,0.47,0.5053,0.5161
"LMHC",5000,"normal","AO",0.05,"H1",1,1,0.999,0.5018,0.5019
"LMHC",500,"t3","AO",0.05,"H1",1,0.9,0.145,0.5152,0.5282
"LMHC",1000,"t3","AO",0.05,"H1",1,0.997,0.466,0.5084,0.5121
"LMHC",5000,"t3","AO",0.05,"H1",1,1,0.999,0.5018,0.5022
"LMHC",500,"normal","IO",0.05,"H1",1,0.449,0.018,0.5199,0.5443
"LMHC",1000,"normal","IO",0.05,"H1",1,0.903,0.063,0.5116,0.5309
"LMHC",5000,"normal","IO",0.05,"H1",1,1,0.461,0.5023,0.5081
"LMHC",500,"t3","IO",0.05,"H1",1,0.659,0.016,0.521,0.5448
"LMHC",1000,"t3","IO",0.05,"H1",1,0.981,0.049,0.5105,0.5271
"LMHC",5000,"t3","IO",0.05,"H1",1,1,0.468,0.5024,0.513
"LMHC",500,"normal","RO",0.05,"H1",1,0.686,0.335,0.5168,0.5233
"LMHC",1000,"normal","RO",0.05,"H1",1,0.977,0.799,0.5064,0.511
"LMHC",5000,"normal","RO",0.05,"H1",1,1,1,0.501,0.5016
"LMHC",500,"t3","RO",0.05,"H1",1,0.871,0.367,0.5151,0.5314
"LMHC",1000,"t3","RO",0.05,"H1",1,0.998,0.796,0.5084,0.5096
"LMHC",5000,"t3","RO",0.05,"H1",1,1,1,0.5015,0.5016
"LMHC",500,"normal","Clean",0,"H2",1,0.27,0.097,0.5405,0.5486
"LMHC",1000,"normal","Clean",0,"H2",1,0.617,0.401,0.5399,0.5402
"LMHC",5000,"normal","Clean",0,"H2",1,0.999,1,0.5256,0.525
"LMHC",500,"t3","Clean",0,"H2",1,0.405,0.117,0.5493,0.556
"LMHC",1000,"t3","Clean",0,"H2",1,0.85,0.415,0.5413,0.5419
"LMHC",5000,"t3","Clean",0,"H2",1,1,0.99,0.5243,0.5265
"LMHC",500,"normal","AO",0.05,"H2",1,0.224,0.039,0.5447,0.5556
"LMHC",1000,"normal","AO",0.05,"H2",1,0.56,0.101,0.5375,0.5475
