"model_type","n","innov_dist","contamination","epsilon","hp_scenario","delta","rate_linearized","rate_l2","mean_loc_linearized","mean_loc_l2"
"LMUH",500,"normal","Clean",0,"H1",0.5,0.413,0.204,0.5034,0.4987
"LMUH",1000,"normal","Clean",0,"H1",0.5,0.84,0.693,0.5043,0.5052
"LMUH",5000,"normal","Clean",0,"H1",0.5,1,1,0.5009,0.5005
"LMUH",500,"t3","Clean",0,"H1",0.5,0.626,0.207,0.5126,0.5122
"LMUH",1000,"t3","Clean",0,"H1",0.5,0.967,0.717,0.5043,0.5024
"LMUH",5000,"t3","Clean",0,"H1",0.5,1,0.999,0.5011,0.5004
"LMUH",500,"normal","AO",0.05,"H1",0.5,0.316,0.006,0.5065,0.532
"LMUH",1000,"normal","AO",0.05,"H1",0.5,0.82,0.032,0.5078,0.5089
"LMUH",5000,"normal","AO",0.05,"H1",0.5,1,0.688,0.5008,0.5026
"LMUH",500,"t3","AO",0.05,"H1",0.5,0.531,0.007,0.5126,0.5098
"LMUH",1000,"t3","AO",0.05,"H1",0.5,0.954,0.024,0.5042,0.5236
"LMUH",5000,"t3","AO",0.05,"H1",0.5,1,0.691,0.5011,0.5042
"LMUH",500,"normal","IO",0.05,"H1",0.5,0.066,0.009,0.5161,0.5105
"LMUH",1000,"normal","IO",0.05,"H1",0.5,0.287,0.012,0.5041,0.5018
"LMUH",5000,"normal","IO",0.05,"H1",0.5,1,0.26,0.5008,0.5017
"LMUH",500,"t3","IO",0.05,"H1",0.5,0.089,0.011,0.5033,0.5086
"LMUH",1000,"t3","IO",0.05,"H1",0.5,0.381,0.014,0.5088,0.5074
"LMUH",5000,"t3","IO",0.05,"H1",0.5,1,0.232,0.5014,0.5033
"LMUH",500,"normal","RO",0.05,"H1",0.5,0.26,0.04,0.5149,0.5379
"LMUH",1000,"normal","RO",0.05,"H1",0.5,0.678,0.13,0.5105,0.5139
"LMUH",5000,"normal","RO",0.05,"H1",0.5,1,0.987,0.5008,0.4995
"LMUH",500,"t3","RO",0.05,"H1",0.5,0.385,0.03,0.5054,0.524
"LMUH",1000,"t3","RO",0.05,"H1",0.5,0.863,0.156,0.5052,0.5234
"LMUH",5000,"t3","RO",0.05,"H1",0.5,1,0.99,0.5013,0.4984
"LMUH",500,"normal","Clean",0,"H2",0.5,0.114,0.033,0.5176,0.5161
"LMUH",1000,"normal","Clean",0,"H2",0.5,0.294,0.156,0.5125,0.5165
"LMUH",5000,"normal","Clean",0,"H2",0.5,1,0.999,0.5054,0.5079
"LMUH",500,"t3","Clean",0,"H2",0.5,0.154,0.034,0.5138,0.5153
"LMUH",1000,"t3","Clean",0,"H2",0.5,0.529,0.159,0.5202,0.5132
"LMUH",5000,"t3","Clean",0,"H2",0.5,1,0.988,0.5162,0.519
"LMUH",500,"normal","AO",0.05,"H2",0.5,0.083,0.005,0.5235,0.5271
"LMUH",1000,"normal","AO",0.05,"H2",0.5,0.276,0.008,0.5246,0.5053
"LMUH",5000,"normal","AO",0.05,"H2",0.5,1,0.169,0.5068,0.5031
"LMUH",500,"t3","AO",0.05,"H2",0.5,0.136,0.006,0.5212,0.5284
"LMUH",1000,"t3","AO",0.05,"H2",0.5,0.438,0.008,0.527,0.5184
"LMUH",5000,"t3","AO",0.05,"H2",0.5,1,0.168,0.5125,0.5081
"LMUH",500,"normal","IO",0.05,"H2",0.5,0.024,0.002,0.5175,0.5125
"LMUH",1000,"normal","IO",0.05,"H2",0.5,0.071,0.012,0.5183,0.5003
"LMUH",5000,"normal","IO",0.05,"H2",0.5,0.939,0.066,0.5056,0.4904
"LMUH",500,"t3","IO",0.05,"H2",0.5,0.025,0.006,0.5245,0.5059
"LMUH",1000,"t3","IO",0.05,"H2",0.5,0.084,0.006,0.5251,0.5138
"LMUH",5000,"t3","IO",0.05,"H2",0.5,0.989,0.062,0.5065,0.4989
"LMUH",500,"normal","RO",0.05,"H2",0.5,0.079,0.015,0.5259,0.5465
"LMUH",1000,"normal","RO",0.05,"H2",0.5,0.199,0.021,0.532,0.5466
"LMUH",5000,"normal","RO",0.05,"H2",0.5,0.996,0.526,0.5239,0.5177
"LMUH",500,"t3","RO",0.05,"H2",0.5,0.102,0.015,0.5291,0.545
"LMUH",1000,"t3","RO",0.05,"H2",0.5,0.35,0.027,0.5163,0.5342
"LMUH",5000,"t3","RO",0.05,"H2",0.5,1,0.527,0.5151,0.522
"LMUH",500,"normal","Clean",0,"H1",0.75,0.761,0.537,0.5082,0.5002
"LMUH",1000,"normal","Clean",0,"H1",0.75,0.994,0.98,0.5037,0.5014
"LMUH",5000,"normal","Clean",0,"H1",0.75,1,1,0.501,0.5005
"LMUH",500,"t3","Clean",0,"H1",0.75,0.933,0.617,0.5092,0.5048
"LMUH",1000,"t3","Clean",0,"H1",0.75,1,0.969,0.505,0.5012
"LMUH",5000,"t3","Clean",0,"H1",0.75,1,1,0.502,0.5007
"LMUH",500,"normal","AO",0.05,"H1",0.75,0.723,0.02,0.5003,0.5218
"LMUH",1000,"normal","AO",0.05,"H1",0.75,0.99,0.093,0.5053,0.5052
"LMUH",5000,"normal","AO",0.05,"H1",0.75,1,0.993,0.5012,0.5002
"LMUH",500,"t3","AO",0.05,"H1",0.75,0.882,0.024,0.5096,0.5143
"LMUH",1000,"t3","AO",0.05,"H1",0.75,1,0.11,0.5053,0.4977
"LMUH",5000,"t3","AO",0.05,"H1",0.75,1,0.985,0.5017,0.501
"LMUH",500,"normal","IO",0.05,"H1",0.75,0.199,0.017,0.5083,0.5208
"LMUH",1000,"normal","IO",0.05,"H1",0.75,0.668,0.037,0.5037,0.4992
"LMUH",5000,"normal","IO",0.05,"H1",0.75,1,0.673,0.5013,0.5001
"LMUH",500,"t3","IO",0.05,"H1",0.75,0.256,0.012,0.5097,0.5072
"LMUH",1000,"t3","IO",0.05,"H1",0.75,0.751,0.026,0.5054,0.5073
"LMUH",5000,"t3","IO",0.05,"H1",0.75,1,0.671,0.5016,0.5029
"LMUH",500,"normal","RO",0.05,"H1",0.75,0.597,0.121,0.5116,0.5192
"LMUH",1000,"normal","RO",0.05,"H1",0.75,0.959,0.471,0.5027,0.5081
"LMUH",5000,"normal","RO",0.05,"H1",0.75,1,1,0.5012,0.4992
"LMUH",500,"t3","RO",0.05,"H1",0.75,0.743,0.128,0.5086,0.5237
"LMUH",1000,"t3","RO",0.05,"H1",0.75,0.99,0.456,0.5049,0.5034
"LMUH",5000,"t3","RO",0.05,"H1",0.75,1,0.999,0.5017,0.4994
"LMUH",500,"normal","Clean",0,"H2",0.75,0.271,0.112,0.528,0.5297
"LMUH",1000,"normal","Clean",0,"H2",0.75,0.69,0.49,0.5258,0.5206
"LMUH",5000,"normal","Clean",0,"H2",0.75,1,1,0.5078,0.5085
"LMUH",500,"t3","Clean",0,"H2",0.75,0.418,0.129,0.5294,0.5345
"LMUH",1000,"t3","Clean",0,"H2",0.75,0.901,0.541,0.526,0.5235
"LMUH",5000,"t3","Clean",0,"H2",0.75,1,1,0.5095,0.5132
"LMUH",500,"normal","AO",0.05,"H2",0.75,0.221,0.008,0.5185,0.5129
"LMUH",1000,"normal","AO",0.05,"H2",0.75,0.653,0.025,0.5237,0.5224
"LMUH",5000,"normal","AO",0.05,"H2",0.75,1,0.497,0.5144,0.512
"LMUH",500,"t3","AO",0.05,"H2",0.75,0.374,0.007,0.5362,0.5122
"LMUH",1000,"t3","AO",0.05,"H2",0.75,0.85,0.016,0.5208,0.5171
"LMUH",5000,"t3","AO",0.05,"H2",0.75,1,0.504,0.5137,0.5056
"LMUH",500,"normal","IO",0.05,"H2",0.75,0.047,0.008,0.5187,0.5072
"LMUH",1000,"normal","IO",0.05,"H2",0.75,0.189,0.016,0.5125,0.5129
"LMUH",5000,"normal","IO",0.05,"H2",0.75,1,0.173,0.5066,0.5028
"LMUH",500,"t3","IO",0.05,"H2",0.75,0.058,0.007,0.5281,0.5159
"LMUH",1000,"t3","IO",0.05,"H2",0.75,0.237,0.013,0.5252,0.5042
"LMUH",5000,"t3","IO",0.05,"H2",0.75,0.999,0.191,0.5051,0.4953
"LMUH",500,"normal","RO",0.05,"H2",0.75,0.19,0.024,0.5212,0.533
"LMUH",1000,"normal","RO",0.05,"H2",0.75,0.493,0.076,0.5315,0.5486
"LMUH",5000,"normal","RO",0.05,"H2",0.75,1,0.917,0.5214,0.5217
"LMUH",500,"t3","RO",0.05,"H2",0.75,0.283,0.025,0.5206,0.5445
"LMUH",1000,"t3","RO",0.05,"H2",0.75,0.711,0.095,0.524,0.5345
"LMUH",5000,"t3","RO",0.05,"H2",0.75,1,0.932,0.5128,0.5139
"LMUH",500,"normal","Clean",0,"H1",1,0.961,0.857,0.5084,0.5042
"LMUH",1000,"normal","Clean",0,"H1",1,1,0.999,0.5058,0.5024
"LMUH",5000,"normal","Clean",0,"H1",1,1,1,0.5018,0.5007
"LMUH",500,"t3","Clean",0,"H1",1,0.988,0.847,0.5107,0.5042
"LMUH",1000,"t3","Clean",0,"H1",1,1,0.996,0.5069,0.5024
"LMUH",5000,"t3","Clean",0,"H1",1,1,1,0.5026,0.5007
"LMUH",500,"normal","AO",0.05,"H1",1,0.918,0.053,0.5068,0.5014
"LMUH",1000,"normal","AO",0.05,"H1",1,1,0.26,0.5043,0.5082
"LMUH",5000,"normal","AO",0.05,"H1",1,1,1,0.5016,0.4993
"LMUH",500,"t3","AO",0.05,"H1",1,0.981,0.049,0.5093,0.5183
"LMUH",1000,"t3","AO",0.05,"H1",1,1,0.24,0.5071,0.4988
"LMUH",5000,"t3","AO",0.05,"H1",1,1,1,0.5024,0.4999
"LMUH",500,"normal","IO",0.05,"H1",1,0.416,0.017,0.5151,0.5105
"LMUH",1000,"normal","IO",0.05,"H1",1,0.898,0.078,0.5034,0.5032
"LMUH",5000,"normal","IO",0.05,"H1",1,1,0.931,0.5015,0.4985
"LMUH",500,"t3","IO",0.05,"H1",1,0.479,0.025,0.5118,0.5056
"LMUH",1000,"t3","IO",0.05,"H1",1,0.922,0.066,0.5049,0.506
