"iteration","replication","scenario","contamination","percentage_contamination","shift_k","innov_dist","n","loss","bias_teta","bias_lin_teta","sq_error_teta","sq_error_lin_teta","k_rate"
2,5,"H1","AO",0.1,2,"t3",500,"Welsh",-0.0114114232348548,0.0347275297693785,0.000130220580244984,0.00120600132388307,0.5577
2,5,"H2","AO",0.1,2,"t3",100,"Welsh",-0.139255596044074,-0.185715410482558,0.0193921210295903,0.034490213690705,0.6394
2,5,"H2","AO",0.1,2,"t3",500,"Welsh",-0.156292344499143,-0.0119784846115383,0.0244272969490388,0.000143484093588859,0.6477
2,5,"H0","IO",0.1,2,"t3",100,"Welsh",0.361981143173292,0.139605754455407,0.131030348013043,0.0194897666770634,0.6394
2,5,"H0","IO",0.1,2,"t3",500,"Welsh",0.099046957241358,0.143163880219878,0.0098102997387714,0.0204958965996115,0.6089
2,5,"H1","IO",0.1,2,"t3",100,"Welsh",-0.18268519406427,0.169725589804453,0.0333738801302999,0.0288067758344693,0.6394
2,5,"H1","IO",0.1,2,"t3",500,"Welsh",0.0191744961007412,0.118447027009152,0.000367661300717339,0.0140296982073068,0.5577
2,5,"H2","IO",0.1,2,"t3",100,"Welsh",-0.0534027133719595,-0.170925957937452,0.00285184979548766,0.0292156830968355,0.588
2,5,"H2","IO",0.1,2,"t3",500,"Welsh",-0.191646309756911,-0.120990365713889,0.0367283080434418,0.0146386685955806,0.6089
3,5,"H0","clean",0.1,2,"gaussian",100,"Welsh",0.0294334268135011,0.0598169384162474,0.000866326613985723,0.00357806612149314,0.6394
3,5,"H0","clean",0.1,2,"gaussian",500,"Welsh",-0.0688303703074516,-0.068440505950782,0.00473761987666092,0.00468410285479903,0.6477
3,5,"H1","clean",0.1,2,"gaussian",100,"Welsh",0.0551619862653323,-0.0237876188586661,0.00304284472873671,0.000565850810965167,0.3495
3,5,"H1","clean",0.1,2,"gaussian",500,"Welsh",-0.0613024149522352,-0.000519813687811954,0.00375798607897603,2.70206270036664e-07,0.5577
3,5,"H2","clean",0.1,2,"gaussian",100,"Welsh",-0.203709212019274,0.0111454165114546,0.0414974430615133,0.000124220309213805,0.588
3,5,"H2","clean",0.1,2,"gaussian",500,"Welsh",0.0400079484833806,0.11317706861518,0.00160063594184884,0.0128090488603252,0.5577
3,5,"H0","AO",0.1,2,"gaussian",100,"Welsh",0.120558023883181,0.129422682773657,0.0145342371226176,0.0167502308163306,0.588
3,5,"H0","AO",0.1,2,"gaussian",500,"Welsh",-0.0634084116139996,-0.0791061144226879,0.00402062666341039,0.00625777733905539,0.6089
3,5,"H1","AO",0.1,2,"gaussian",100,"Welsh",-0.22090259382752,-0.112428413097419,0.0487979559597264,0.0126401480716039,0.5396
3,5,"H1","AO",0.1,2,"gaussian",500,"Welsh",-0.084148907976437,-0.0384208847756693,0.00708103871362687,0.00147616438694526,0.482
3,5,"H2","AO",0.1,2,"gaussian",100,"Welsh",-0.308253756526393,-0.205748158903249,0.0950203784126327,0.0423323048920765,0.5396
3,5,"H2","AO",0.1,2,"gaussian",500,"Welsh",-0.096008809030689,0.0181194326406089,0.00921769141149131,0.000328313839217563,0.6089
3,5,"H0","IO",0.1,2,"gaussian",100,"Welsh",-0.201071761471349,-0.293957835542487,0.0404298532611909,0.0864112090768237,0.588
3,5,"H0","IO",0.1,2,"gaussian",500,"Welsh",0.039546565220401,0.0601127398519253,0.00156393082073143,0.00361354149250525,0.6477
3,5,"H1","IO",0.1,2,"gaussian",100,"Welsh",0.2580741763423,0.0710981604273806,0.0666022804947563,0.00505494841615755,0.4515
3,5,"H1","IO",0.1,2,"gaussian",500,"Welsh",-0.0470501576699371,0.0431256163122911,0.00221371733676595,0.00185981878231494,0.5577
3,5,"H2","IO",0.1,2,"gaussian",100,"Welsh",-0.19384719030812,-0.0537813684870012,0.0375767331903525,0.00289243559633461,0.588
3,5,"H2","IO",0.1,2,"gaussian",500,"Welsh",-0.114334604215765,0.0310975101927438,0.0130724017211756,0.000967055140187802,0.6477
3,5,"H0","clean",0.1,2,"t3",100,"Welsh",-0.0855872373727151,-0.0175366363162405,0.00732517520109348,0.000307533613288084,0.5396
3,5,"H0","clean",0.1,2,"t3",500,"Welsh",-0.0405212245390193,-0.015775513824338,0.00164196963814162,0.00024886683642188,0.482
3,5,"H1","clean",0.1,2,"t3",100,"Welsh",-0.439962405598753,-0.282788838017119,0.193566918340242,0.0799695269070726,0.6394
3,5,"H1","clean",0.1,2,"t3",500,"Welsh",-0.287178925600925,-0.146607906455506,0.0824717353093018,0.0214938782352664,0.6477
3,5,"H2","clean",0.1,2,"t3",100,"Welsh",-0.329908376609247,-0.185516574535437,0.108839536956949,0.0344163994273625,0.588
3,5,"H2","clean",0.1,2,"t3",500,"Welsh",-0.148273853542964,-0.0526894715854587,0.0219851356444803,0.00277618041595486,0.6089
3,5,"H0","AO",0.1,2,"t3",100,"Welsh",-0.180293004336679,-0.150160254928155,0.0325055674127457,0.0225481021600886,0.588
3,5,"H0","AO",0.1,2,"t3",500,"Welsh",-0.0228615680792194,0.0394631717543649,0.000522651295040785,0.0015573419249145,0.6477
3,5,"H1","AO",0.1,2,"t3",100,"Welsh",-0.301523706594217,-0.1785136980513,0.0909165456383153,0.0318671403919508,0.4515
3,5,"H1","AO",0.1,2,"t3",500,"Welsh",-0.18105350511825,-0.0780403629333333,0.032780371715604,0.00609029824676638,0.6089
3,5,"H2","AO",0.1,2,"t3",100,"Welsh",-0.306349967753726,-0.0382485761419469,0.0938503027427088,0.00146295357688631,0.6394
3,5,"H2","AO",0.1,2,"t3",500,"Welsh",-0.0714151752910741,-0.00838947340903995,0.00510012726185484,7.03832640809884e-05,0.6477
3,5,"H0","IO",0.1,2,"t3",100,"Welsh",-0.00371632258884773,-0.0366474563104967,1.38110535843799e-05,0.00134303605402976,0.588
3,5,"H0","IO",0.1,2,"t3",500,"Welsh",-0.0633526623430173,-0.0437434906885387,0.00401355982594837,0.00191349297761827,0.6477
3,5,"H1","IO",0.1,2,"t3",100,"Welsh",-0.15596352167376,-0.0482026901358654,0.0243246200928813,0.00232349933633426,0.5396
3,5,"H1","IO",0.1,2,"t3",500,"Welsh",-0.0974739047161655,-0.0479103572757178,0.0095011621006161,0.00229540233428693,0.6477
3,5,"H2","IO",0.1,2,"t3",100,"Welsh",-0.20750229323617,-0.322923498622283,0.0430572016982694,0.104279585962456,0.6394
3,5,"H2","IO",0.1,2,"t3",500,"Welsh",-0.104182396503091,0.0320478705664731,0.0108539717411272,0.00102706600784541,0.6477
4,5,"H0","clean",0.1,2,"gaussian",100,"Welsh",0.00127997369264092,0.0187313340532,1.63833265385284e-06,0.000350862875412572,0.4515
4,5,"H0","clean",0.1,2,"gaussian",500,"Welsh",-0.0461134907599806,-0.0498008900631576,0.00212645403007081,0.00248012865108271,0.6477
4,5,"H1","clean",0.1,2,"gaussian",100,"Welsh",-0.112636795299522,0.0938673094245925,0.0126870476553464,0.0088110717786122,0.588
4,5,"H1","clean",0.1,2,"gaussian",500,"Welsh",-0.146067103536163,-0.109109475144606,0.0213355987354443,0.0119048775663315,0.5577
